Rank,University Name,Official Website,City,Country,Study Level,Bachelor,Master,Program Category,Program Name,Program URL,Course Intensity,Full Time,Part Time,Study Mode,On Campus,Online,Hybrid,Programme Duration,eu,non eu,arab,lebanese,pal,us,TOEFL,IELTS,SAT,GPA,Languages,english,french,arabic,german,spanish,catalan,italian,Engineering,Computing & Technology,Data Science & Artificial Intelligence,Health & Medicine,Life Sciences,Natural & Physical Sciences,Social Sciences,Psychology & Behavioral Sciences,Business & Management,Law & Governance,Education,"Arts, Design & Architecture",Humanities & Languages,Environment & Agriculture,Media & Communication,Hospitality & Tourism,Sports & Events,"Transport, Aviation & Maritime",Interdisciplinary & Emerging Fields
5,Harvard University,https://www.harvard.edu/,Cambridge,United States,Master,0,1,Humanities & Languages,Creative Writing & Literature,https://www.extension.harvard.edu/academics/graduate-degrees/creative-writing-literature-degree,Part Time,0,1,Blended,0,0,1,5,14175,14175,14175,14175,14175,14175,80,,,3.4,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,Harvard University,https://www.harvard.edu/,Cambridge,United States,Master,0,1,Media & Communication,Digital Media Design,https://www.extension.harvard.edu/academics/graduate-degrees/digital-media-design-degree,Part Time,0,1,Blended,0,0,1,5,14175,14175,14175,14175,14175,14175,80,,,3.4,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,Harvard University,https://www.harvard.edu/,Cambridge,United States,Master,0,1,"Arts, Design & Architecture",Dramatic Arts,https://www.extension.harvard.edu/academics/graduate-degrees/dramatic-arts-degree,Part Time,0,1,Blended,0,0,1,5,14175,14175,14175,14175,14175,14175,80,,,3.4,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,Harvard University,https://www.harvard.edu/,Cambridge,United States,Master,0,1,Humanities & Languages,English,https://www.extension.harvard.edu/academics/graduate-degrees/english-degree,Part Time,0,1,Blended,0,0,1,5,14175,14175,14175,14175,14175,14175,80,,,3.4,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,Harvard University,https://www.harvard.edu/,Cambridge,United States,Master,0,1,Humanities & Languages,History,https://www.extension.harvard.edu/academics/graduate-degrees/history-degree,Part Time,0,1,Blended,0,0,1,5,14175,14175,14175,14175,14175,14175,80,,,3.4,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,Harvard University,https://www.harvard.edu/,Cambridge,United States,Master,0,1,Humanities & Languages,Museum Studies,https://www.extension.harvard.edu/academics/graduate-degrees/museum-studies-degree,Part Time,0,1,Blended,0,0,1,5,14175,14175,14175,14175,14175,14175,80,,,3.4,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,Harvard University,https://www.harvard.edu/,Cambridge,United States,Master,0,1,Humanities & Languages,Religion,https://www.extension.harvard.edu/academics/graduate-degrees/religion-degree,Part Time,0,1,Blended,0,0,1,5,14175,14175,14175,14175,14175,14175,80,,,3.4,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,Harvard University,https://www.harvard.edu/,Cambridge,United States,Master,0,1,Business & Management,Finance,https://www.extension.harvard.edu/academics/graduate-degrees/finance-degree,Part Time,0,1,Blended,0,0,1,5,14175,14175,14175,14175,14175,14175,80,,,3.4,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,Harvard University,https://www.harvard.edu/,Cambridge,United States,Master,0,1,Business & Management,Management,https://www.extension.harvard.edu/academics/graduate-degrees/management-degree,Part Time,0,1,Blended,0,0,1,5,14175,14175,14175,14175,14175,14175,80,,,3.4,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,Harvard University,https://www.harvard.edu/,Cambridge,United States,Master,0,1,Engineering,Bio Engineering & Nanotechnology,https://www.extension.harvard.edu/academics/graduate-degrees/bioEngineering and Technology -nanotechnology-degree,Part Time,0,1,Blended,0,0,1,5,14175,14175,14175,14175,14175,14175,80,,,3.4,English,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
